역명,주소,위도,경도
서울역,서울특별시 중구 세종대로 지하2(남대문로 5가),37.5534443,126.9697112
시청역,서울특별시 중구 세종대로 지하101(정동),37.5654798,126.977114
종각역,서울특별시 종로구 종로 지하55(종로1가),37.5701745,126.9831831
종로3가역,서울특별시 종로구 종로 지하129(종로3가),37.5704405,126.9923242
종로5가역,서울특별시 종로구 종로 지하216(종로5가),37.5709867,127.0020222
동대문역,서울특별시 종로구 종로 지하302(창신동),37.5718616,127.0114887
신설동역,서울특별시 동대문구 왕산로 지하1(신설동),37.5745192,127.0254473
제기동역,서울특별시 동대문구 왕산로 지하93(제기동),37.5783784,127.0344672
청량리역,서울특별시 동대문구 왕산로 지하205(전농동),37.58182,127.04757
동묘앞역,서울특별시 종로구 종로 359(숭인동),37.5735084,127.0174344
시청역,서울특별시 중구 서소문로 지하127(서소문동),37.5654798,126.977114
을지로입구역,서울특별시 중구 을지로 지하42(을지로1가),37.5661139,126.9834916
을지로3가역,서울특별시 중구 을지로 지하106(을지로3가),37.5662483,126.9923379
을지로4가역,서울특별시 중구 을지로 지하178(을지로4가),37.567797,126.9981347
동대문역사문화공원역,서울특별시 중구 을지로 지하279(을지로7가),0.0,0.0
신당역,서울특별시 중구 퇴계로 지하431-1(신당동),37.5657732,127.0205833
상왕십리역,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.5659227,127.0299688
왕십리역,서울특별시 성동구 왕십리로 지하300(행당동),37.5611074,127.0354995
한양대역,서울특별시 성동구 왕십리로 206(행당동),37.5559684,127.0439148
뚝섬역,서울특별시 성동구 아차산로 18(성수동1가),37.5481488,127.044524
성수역,서울특별시 성동구 아차산로 100(성수동2가),37.54541,127.05359
건대입구역,서울특별시 광진구 아차산로 243(화양동),37.54088,127.06812
구의역,서울특별시 광진구 아차산로 384-1(구의동),0.0,0.0
강변역,서울특별시 광진구 강변역로 53(구의동),37.53553,127.09376
잠실나루역,서울특별시 송파구 오금로 20(신천동),37.5188755,127.1058477
잠실역,서울특별시 송파구 올림픽로 지하265(신천동),37.5132392,127.1001779
잠실새내역,서울특별시 송파구 올림픽로 지하140(잠실동),37.511759,127.087271
종합운동장역,서울특별시 송파구 올림픽로 지하23(잠실동),35.1909453,129.066628
삼성역,서울특별시 강남구 테헤란로 지하538(삼성동),37.5088402,127.063143
선릉역,서울특별시 강남구 테헤란로 지하340(삼성동),37.5058843,127.0481759
역삼역,서울특별시 강남구 테헤란로 지하156(역삼동),37.501657,127.0362961
강남역,서울특별시 강남구 강남대로 지하396(역삼동),37.5002114,127.0267345
교대역,서울특별시 서초구 서초대로 지하294(서초동),37.494178,127.015909
서초역,서울특별시 서초구 서초대로 지하233(서초동),37.4921027,127.0089619
방배역,서울특별시 서초구 방배로 지하80(방배동),37.4819419,126.9974908
사당역,서울특별시 동작구 남부순환로 지하2089(사당동),37.478875,126.9820298
낙성대역,서울특별시 관악구 남부순환로 지하1928(봉천동),37.4763715,126.9648543
서울대입구역,서울특별시 관악구 남부순환로 지하1822(봉천동),37.48068,126.95241
봉천역,서울특별시 관악구 남부순환로 지하1721(봉천동),39.7835588,125.9429579
신림역,서울특별시 관악구 남부순환로 지하1614(신림동),37.217105,128.090024
신대방역,서울특별시 동작구 대림로 2(신대방동),37.4856965,126.9126139
구로디지털단지역,서울특별시 구로구 도림천로 477(구로동),37.4853417,126.9068128
대림역,서울특별시 구로구 도림천로 351(구로동),37.49122,126.89398
신도림역,서울특별시 구로구 새말로 지하 117-21(신도림동),37.5089178,126.8916525217337
문래역,서울특별시 영등포구 당산로 지하28(문래동3가),37.5189856,126.8949897
영등포구청역,서울특별시 영등포구 당산로 지하121(당산동3가),0.0,0.0
당산역,서울특별시 영등포구 당산로 229(당산동6가),37.5339457,126.9018223
합정역,서울특별시 마포구 양화로 지하55(서교동),37.5488204,126.9146013
홍대입구역,서울특별시 마포구 양화로 지하160(동교동),37.5567568,126.9237678
